S001,Asian
S002,White
S003,Black
S004,Asian
S005,Black
S006,White
S007,White
S008,White
S009,White
S010,Black
S011,White
S012,White
S013,White
S014,Black
S015,White
S016,White
S017,Asian
S018,Black
S019,Black
S020,Hispanic
S021,Black
S022,White
S023,Black
S024,Black
S025,Black
S026,Black
S027,Black
S028,Black
S029,White
S030,Black
S031,Black
S032,White
S033,White
S034,Hispanic
S035,Hispanic
S036,Hispanic
S037,Hispanic
S038,Hispanic
S039,Hispanic
S040,Hispanic
S041,Hispanic
S042,Hispanic
S043,Hispanic
S044,Hispanic
S045,Hispanic
S046,Hispanic
S047,White
S048,Hispanic
S049,Hispanic
S050,Hispanic
S051,Hispanic
S052,Hispanic
S053,Hispanic
S054,Hispanic
S055,Hispanic
S056,Hispanic
S057,Hispanic
S058,Hispanic
S059,Hispanic
S060,Hispanic
S061,Hispanic
S062,Hispanic
S063,Hispanic
S064,Hispanic
S065,Hispanic
S066,White
S067,Asian
S068,White
S069,White
S070,Black
S071,Black
S072,Black
S073,Asian
S074,White
S075,Asian
S076,White
S077,Asian
S078,White
S079,Black
S080,White
S081,Asian
S082,White
S083,White
S084,Black
S085,Black
S086,White
S087,White
S088,White
S089,White
S090,White
S091,Black
S092,White
S093,White
S094,Black
S095,Black
S096,White
S097,Black
S098,White
S099,White
S100,Black
S101,White
S102,Black
S103,Black
S104,Black
S105,Black
S106,Black
S107,White
S108,Black
S109,Black
S110,Black
S111,Black
S112,White
S113,White
S114,White
S115,Black
S116,Black
S117,White
S118,Black
S119,Black
S120,White
S121,Hispanic
S122,Black
S123,Black
S124,White
S125,White
S126,Hispanic
S127,White
S128,Asian
S129,Asian
S130,Black
S131,White
S132,White
S133,Hispanic
S134,Hispanic
S135,Hispanic
S136,Hispanic
S137,Hispanic
S138,Hispanic
S139,Hispanic
S140,Hispanic
S141,Hispanic
S142,Hispanic
S143,Hispanic
S144,Hispanic
S145,Hispanic
S146,Hispanic
S147,Hispanic
S148,Hispanic
S149,Hispanic
S150,Hispanic
S151,Hispanic
S152,Hispanic
S153,Hispanic
S154,Hispanic
S155,Hispanic
S156,Hispanic
S157,Hispanic
S158,Hispanic
S159,Hispanic
S160,Hispanic
S161,Hispanic
S162,Hispanic
S163,Hispanic
S164,Hispanic
S165,Hispanic
S166,Hispanic
S167,Hispanic
S168,Hispanic
S169,Hispanic
S170,Hispanic
S171,Hispanic
S172,Hispanic
S173,Hispanic
S174,Hispanic
S175,Hispanic
S176,Hispanic
S177,Hispanic
S178,Hispanic
S179,Hispanic
S180,Hispanic
S181,Hispanic
S182,Hispanic
S183,Hispanic
S184,Hispanic
S185,Hispanic
S186,Hispanic
S187,Hispanic
S188,Hispanic
S189,Asian
S190,Hispanic
S191,White
S192,Black
S193,Hispanic
S194,Asian
S195,Black
S196,White
S197,White
S198,White
S199,Black
S200,Black
S201,Asian
S202,Black
S203,White
S204,Black
S205,White
S206,White
S207,Black
S208,White
S209,Black
S210,White
S211,White
S212,Black
S213,Asian
S214,Black
S215,White
S216,White
S217,Black
S218,White
S219,White
S220,White
S221,Black
S222,White
S223,Asian
S224,White
S225,White
S226,White
S227,Black
S228,Black
S229,Black
S230,Black
S231,Black
S232,Asian
S233,White
S234,Black
S235,Black
S236,Asian
S237,Black
S238,Black
S239,Black
S240,White
S241,Black
S242,Black
S243,Black
S244,Black
S245,White
S246,White
S247,White
S248,Black
S249,White
S250,Asian
S251,Black
S252,Black
S253,Black
S254,Black
S255,Black
S256,White
S257,Black
S258,White
S259,Black
S260,Asian
S261,Black
S262,White
S263,Black
S264,White
S265,Hispanic
S266,Hispanic
S267,White
S268,Black
S269,White
S270,Black
S271,White
S272,Asian
S273,Asian
S274,White
S275,Asian
S276,White
S277,White
S278,White
S279,Black
S280,White
S281,Black
S282,Asian
S283,Asian
S284,White
S285,White
S286,Asian
S287,Asian
S288,Asian
S289,Asian
S290,Black
S291,White
S292,Black
S293,White
S294,White
S295,Asian
S296,Asian
S297,White
S298,Asian
S299,White
S300,Asian
S301,Asian
S302,Asian
S303,Asian
S304,Asian
S305,Asian
S306,Hispanic
S307,Black
S308,Black
S309,Hispanic
S310,Black
S311,Black
S312,Black
S313,Black
S314,Black
S315,Black
S316,Black
S317,Black
S318,Black
S319,Black
S320,Black
S321,Black
S322,Black
S323,Black
S324,Asian
S325,White
S326,White
S327,Black
S328,Black
S329,Black
S330,Black
S331,Hispanic
S332,Asian
S333,Asian
S334,Asian
S335,Asian
S336,Asian
S337,Asian
S338,Asian
S339,Asian
S340,Asian
S341,Asian
S342,Asian
S343,Asian
S344,Asian
S345,Asian
S346,Asian
S347,White
S348,Asian
S349,Asian
S350,Asian
S351,Asian
S352,Asian
S353,Asian
S354,Asian
S355,Asian
S356,White
S357,White
S358,White
S359,White
S360,Asian
S361,Asian
S362,Asian
S363,Asian
S364,Asian
S365,Asian
S366,Asian
S367,Asian
S368,Asian
S369,Asian
S370,Asian
S371,Asian
S372,Asian
S373,Asian
S374,Asian
S375,Asian
S376,Asian
S377,Asian
S378,Asian
S379,Asian
S380,Asian
S381,Asian
S382,Asian
S383,Asian
S384,Asian
S385,Asian
S386,Asian
S387,Asian
S388,Asian
S389,Asian
S390,Asian
S391,Asian
S392,Asian
S393,Asian
S394,Asian
